A
20
IC1	QFP	0	151.39	417.06	-55.37	9
R1	MELF	100	601.33	909.80	-60.33	3
R2	MELF	100	883.31	367.86	-22.52	3
R3	0403	12	444.96	743.48	-36.72	5
R4	0403	12	813.28	517.18	49.28	5
IC2	SOIC	0	644.98	117.58	-65.67	8
C1	0403	33	624.09	762.54	8.93	1
C2	0403	33	904.95	386.10	-135.40	1
R5	0403	12	655.64	768.59	147.30	5
C3	0403	22	241.76	279.97	113.62	0
R6	0603	18	771.47	546.35	17.79	4
R7	0403	12	427.65	125.79	-172.17	5
Q1	SOT	0	955.36	698.59	66.82	7
R8	0201	5.6	662.46	991.65	140.51	6
R9	0403	12	376.94	4.95	-64.39	5
C4	0201	15	912.92	427.89	134.05	2
IC3	QFP	0	80.19	595.64	-70.75	9
C5	0403	33	746.37	867.74	34.34	1
R10	0403	12	172.37	44.35	20.25	5
IC4	QFP	0	57.54	52.17	0.72	9
IC5	SOIC	0	313.18	49.13	148.19	8
IC5	SOIC	0	140.51	80.19	20.25	0
